energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,2.464395535955642e-20
9.3,6.790798819026363e-20
9.4,1.0617472979993637e-19
9.5,1.430856353447808e-19
9.6,1.8228215998100305e-19
9.7,2.274057588648103e-19
9.8,2.820978871524069e-19
9.9,3.5e-19
10.0,4.347535525637957e-19
10.1,5.400000000000001e-19
10.2,6.665879249399308e-19
10.3,8.041944199153337e-19
10.4,9.397037049330702e-19
10.5,1.0600000000000001e-18
10.6,1.1551336505124832e-18
10.7,1.2278195034248705e-18
10.8,1.2839385310810167e-18
10.9,1.3293717058247757e-18
11.0,1.3700409238667117e-18
11.1,1.6306785575244182e-18
11.2,1.927650947039031e-18
11.3,2.204167955047475e-18
11.4,2.4171892521895597e-18
11.5,2.57867374111665e-18
11.6,2.7109473409995925e-18
11.7,2.822804805075595e-18
11.8,2.9196580950984614e-18
11.9,3.006919172821995e-18
12.0,3.0900000000000005e-18
12.1,3.1733665152575485e-18
12.2,3.25770056470478e-18
12.3,3.3427379713231087e-18
12.4,3.428214558093945e-18
12.5,3.5138661479987e-18
12.6,3.599428564018786e-18
12.7,3.6846376291356125e-18
12.8,3.769229166330593e-18
12.9,3.852938998585136e-18
13.0,3.935502948880657e-18
13.1,4.016656840198564e-18
13.2,4.0961364955202685e-18
13.3,4.173677737827183e-18
13.4,4.249016390100718e-18
13.5,4.321888275322286e-18
13.6,4.392029216473297e-18
13.7,4.459175036535162e-18
13.8,4.5230615584892935e-18
13.9,4.5834246053171026e-18
14.0,4.64e-18
14.1,4.692602406977574e-18
14.2,4.741361856522108e-18
14.3,4.786487220364065e-18
14.4,4.828187370233905e-18
14.5,4.866671177862091e-18
14.6,4.902147514979084e-18
14.7,4.934825253315343e-18
14.8,4.964913264601333e-18
14.9,4.992620420567513e-18
15.0,5.018155592944345e-18
15.1,5.041727653462291e-18
15.2,5.0635454738518096e-18
15.3,5.083817925843365e-18
15.4,5.1027538811674165e-18
15.5,5.120562211554427e-18
15.6,5.137451788734857e-18
15.7,5.153631484439168e-18
15.8,5.169310170397822e-18
15.9,5.184696718341278e-18
16.0,5.2e-18
16.1,5.215380106832163e-18
16.2,5.2308020092067946e-18
16.3,5.246181897220638e-18
16.4,5.261435960970439e-18
16.5,5.27648039055294e-18
