energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,2.7171660933814234e-19
4.4,5.095102590983976e-19
4.5,7.186381247579171e-19
4.6,9.043573817938496e-19
4.7,1.0719252056833453e-18
4.8,1.2265987719035511e-18
4.9,1.3725562801458058e-18
5.0,1.509660026958215e-18
5.1,1.636992153337231e-18
5.2,1.754830081215926e-18
5.3,1.8637500527615313e-18
5.4,1.964328310141279e-18
5.5,2.057141095522398e-18
5.6,2.142764651072119e-18
5.7,2.2217752189576726e-18
5.8,2.2947490413462895e-18
5.9,2.362262360405199e-18
6.0,2.4248914183016327e-18
6.1,2.4831526195935848e-18
6.2,2.537323018402099e-18
6.3,2.587619831238988e-18
6.4,2.6342602746160583e-18
6.5,2.67746156504512e-18
6.6,2.717440919037983e-18
6.7,2.7544155531064565e-18
6.8,2.7886026837623498e-18
6.9,2.820219527517471e-18
7.0,2.849483300883631e-18
7.1,2.8765889213811413e-18
7.2,2.901642110564326e-18
7.3,2.9247262909960145e-18
7.4,2.945924885239032e-18
7.5,2.9653213158562072e-18
7.6,2.9829990054103674e-18
7.7,2.9990413764643404e-18
7.8,3.0135318515809525e-18
7.9,3.0265538533230327e-18
8.0,3.038190804253408e-18
8.1,3.048524194507434e-18
8.2,3.057627784510584e-18
8.3,3.0655734022608583e-18
8.4,3.072432875756258e-18
8.5,3.0782780329947833e-18
8.6,3.083180701974437e-18
8.7,3.0872127106932185e-18
8.8,3.0904458871491284e-18
8.9,3.0929520593401695e-18
9.0,3.0948030552643406e-18
9.1,3.0960629901203507e-18
9.2,3.0967651279097395e-18
9.3,3.09693501983475e-18
9.4,3.096598217097628e-18
9.5,3.0957802709006187e-18
9.6,3.0945067324459684e-18
9.7,3.092803152935921e-18
9.8,3.0906950835727222e-18
9.9,3.088208075558618e-18
10.0,3.085367680095852e-18
10.1,3.08219675412667e-18
10.2,3.0787073775533133e-18
10.3,3.0749089360180234e-18
10.4,3.070810815163041e-18
10.5,3.066422400630608e-18
10.6,3.061753078062965e-18
10.7,3.056812233102354e-18
10.8,3.051609251391015e-18
10.9,3.0461535185711893e-18
11.0,3.040454420285119e-18
11.1,3.0345213421750444e-18
11.2,3.0283636698832067e-18
11.3,3.0219907890518485e-18
11.4,3.0154120853232087e-18
11.5,3.0086369443395295e-18
11.6,3.001674751743052e-18
11.7,2.994534893176018e-18
11.8,2.987226754280668e-18
11.9,2.9797597206992436e-18
12.0,2.9721431780739856e-18
12.1,2.9643864416858386e-18
12.2,2.9564985453705596e-18
12.3,2.9484884526026102e-18
12.4,2.9403651268564498e-18
12.5,2.93213753160654e-18
12.6,2.923814630327341e-18
12.7,2.9154053864933138e-18
12.8,2.9069187635789193e-18
12.9,2.8983637250586174e-18
13.0,2.889749234406869e-18
13.1,2.8810842550981357e-18
13.2,2.8723777506068766e-18
13.3,2.8636386844075534e-18
13.4,2.8548760199746267e-18
13.5,2.846098720782557e-18
13.6,2.837315750305805e-18
13.7,2.8285360720188308e-18
13.8,2.8197686493960966e-18
13.9,2.8110224459120614e-18
