energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,2.4772309811966005e-19
7.2,4.94426279697954e-19
7.3,7.400833795648423e-19
7.4,9.846682325502765e-19
7.5,1.2281546734842155e-18
7.6,1.4705165371966165e-18
7.7,1.7117276585174325e-18
7.8,1.9517618722766224e-18
7.9,2.1905930133041392e-18
8.0,2.428194916429941e-18
8.1,2.664541416483987e-18
8.2,2.899606348296222e-18
8.3,3.133363546696618e-18
8.4,3.365786846515119e-18
8.5,3.5968500825816845e-18
8.6,3.826527089726276e-18
8.7,4.054791702778836e-18
8.8,4.2816177565693376e-18
8.9,4.506979085927724e-18
9.0,4.7308495256839575e-18
9.1,4.953202910667992e-18
9.2,5.174013075709786e-18
9.3,5.3932538556392915e-18
9.4,5.610899085286467e-18
9.5,5.8269225994812666e-18
9.6,6.041298233053649e-18
9.7,6.253999820833573e-18
9.8,6.465001197650988e-18
9.9,6.674276198335851e-18
10.0,6.8817986577181215e-18
10.1,7.087542410627754e-18
10.2,7.291481291894708e-18
10.3,7.493589136348935e-18
10.4,7.693839778820388e-18
10.5,7.892207054139034e-18
10.6,8.08866479713482e-18
10.7,8.283186842637704e-18
10.8,8.475747025477642e-18
10.9,8.666319180484593e-18
11.0,8.854877142488509e-18
11.1,9.041394746319349e-18
11.2,9.225845826807066e-18
11.3,9.40820421878162e-18
11.4,9.588443757072963e-18
11.5,9.766538276511056e-18
11.6,9.942461611925852e-18
11.7,1.0116187598147308e-17
11.8,1.0287690070005376e-17
11.9,1.0456942862330016e-17
12.0,1.0623919809951184e-17
12.1,1.078859474769884e-17
12.2,1.0950941510402932e-17
12.3,1.1110933932893418e-17
12.4,1.126854585000026e-17
12.5,1.1423751096553407e-17
12.6,1.157652350738282e-17
12.7,1.1726836917318452e-17
12.8,1.187466516119026e-17
12.9,1.20199820738282e-17
13.0,1.2162761490062227e-17
13.1,1.2302977244722302e-17
13.2,1.2440603172638376e-17
13.3,1.2575613108640404e-17
13.4,1.270798088755835e-17
13.5,1.2837680344222158e-17
13.6,1.2964685313461795e-17
13.7,1.3088969630107213e-17
13.8,1.3210507128988366e-17
13.9,1.3329271644935212e-17
14.0,1.3445237012777706e-17
14.1,1.3558377067345811e-17
14.2,1.366866564346947e-17
14.3,1.3778574396569594e-17
14.4,1.3888108981754017e-17
14.5,1.3994657991084532e-17
14.6,1.4098195660592312e-17
14.7,1.4198696226308528e-17
14.8,1.429613392426435e-17
14.9,1.4390482990490945e-17
15.0,1.44817176610195e-17
15.1,1.4569826068388725e-17
15.2,1.4654851931167547e-17
15.3,1.473685286443244e-17
