energy_eV,cross_section_cm2
1.0,6.691030061894427e-83
1.1,2.837367260276724e-76
1.2,8.839910889143833e-71
1.3,3.7299892500401526e-66
1.4,3.29250207881273e-62
1.5,8.352262726536572e-59
1.6,7.71939606820194e-56
1.7,3.1145492448696704e-53
1.8,6.311494181840114e-51
1.9,7.173495583837555e-49
2.0,4.993891956149152e-47
2.1,2.2863522924914674e-45
2.2,7.295486923841706e-44
2.3,1.7019754219350184e-42
2.4,3.020792650251347e-41
2.5,4.217389596105086e-40
2.6,4.7638247546908275e-39
2.7,4.459223212393984e-38
2.8,3.530644726843923e-37
2.9,2.4065735896766486e-36
3.0,1.433907158826776e-35
3.1,7.568006589044542e-35
3.2,3.57943076064421e-34
3.3,1.5326207725101308e-33
3.4,5.99424351901519e-33
3.5,2.1585083778358705e-32
3.6,7.206869016055167e-32
3.7,2.24508473459058e-31
3.8,6.562086079166105e-31
3.9,1.8086382087715756e-30
4.0,4.721924708412813e-30
4.1,1.1724857694082746e-29
4.2,2.779141670576312e-29
4.3,6.309160668082965e-29
4.4,1.3759432238247262e-28
4.5,2.89061082760262e-28
4.6,5.864432104171942e-28
4.7,1.1516028660385768e-27
4.8,2.1934573568359493e-27
4.9,4.060123758480347e-27
5.0,7.31642944742208e-27
5.1,1.2856245751302295e-26
5.2,2.20614644241458e-26
5.3,3.7022011134835256e-26
5.4,6.083399057202163e-26
5.5,9.799577280756217e-26
5.6,1.5492442782755083e-25
5.7,2.406172473699565e-25
5.8,3.6748500608837323e-25
5.9,5.523849550573362e-25
6.0,8.178821681386867e-25
6.1,1.193767653868966e-24
6.2,1.718860507893492e-24
6.3,2.443119252931864e-24
6.4,3.430084372223438e-24
6.5,4.759669905969119e-24
6.6,6.531316906334311e-24
6.7,8.867515630926453e-24
6.8,1.1917696727318655e-23
6.9,1.5862484480560174e-23
7.0,2.091829764218103e-23
7.1,2.7342275627275716e-23
7.2,3.543750015815927e-23
7.3,4.555847494883313e-23
7.4,5.811681895768044e-23
7.5,7.358712226405611e-23
7.6,9.251290790922524e-23
7.7,1.1551263821478345e-22
7.8,1.432857002651362e-22
7.9,1.7661830249064088e-22
8.0,2.163892126659394e-22
8.1,2.6357526716570886e-22
8.2,3.192565819852438e-22
8.3,3.846213978105709e-22
8.4,4.609704942467981e-22
8.5,5.497211121080933e-22
8.6,6.524103273548572e-22
8.7,7.706978257036977e-22
8.8,9.063680330426735e-22
8.9,1.0613315634092865e-21
9.0,1.2376259533240308e-21
9.1,1.4374156585821704e-21
9.2,1.662991297065479e-21
9.3,1.9167681286356746e-21
9.4,2.2012837705799383e-21
9.5,2.519195154339166e-21
9.6,2.8732747361723833e-21
9.7,3.2664059810768006e-21
9.8,3.701578145418225e-21
9.9,4.181880389466013e-21
10.0,4.71049525617462e-21
10.1,5.290691557195946e-21
10.2,5.925816711050705e-21
10.3,6.619288581958663e-21
10.4,7.374586870406868e-21
10.5,8.195244108991853e-21
10.6,9.084836318459818e-21
10.7,1.0046973380143613e-20
10.8,1.1085289181161265e-20
10.9,1.2203431589191986e-20
11.0,1.3405052312627795e-20
11.1,1.4693796701274476e-20
11.2,1.6073293541418008e-20
11.3,1.7547144897095005e-20
11.4,1.911891604762475e-20
11.5,2.0792125568956762e-20
11.6,2.2570235603911044e-20
11.7,2.4456642363578403e-20
11.8,2.6454666898990926e-20
11.9,2.8567546179654725e-20
12.0,3.079842451168939e-20
12.1,3.3150345325600874e-20
12.2,3.5626243360300184e-20
12.3,3.822893726667123e-20
12.4,4.096112265097019e-20
12.5,4.3825365575035605e-20
12.6,4.682409652704157e-20
12.7,4.995960487418204e-20
12.8,5.3234033804782086e-20
12.9,5.664937576560697e-20
13.0,6.020746839659493e-20
13.1,6.390999096363759e-20
13.2,6.775846128687016e-20
13.3,7.175423315998477e-20
13.4,7.589849425489749e-20
13.5,8.019226450254814e-20
13.6,8.463639494034349e-20
13.7,8.923156701494788e-20
13.8,9.397829232686408e-20
13.9,9.887691280299412e-20
14.0,1.0392760128212115e-19
14.1,1.0913036249652135e-19
14.2,1.1448503443314597e-19
14.3,1.1999129005642397e-19
14.4,1.256486393746885e-19
14.5,1.3145643183152481e-19
14.6,1.374138590023747e-19
14.7,1.4351995757849744e-19
14.8,1.49773612618248e-19
14.9,1.5617356104579748e-19
