energy_eV,cross_section_cm2
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,3.7100000000000004e-20
14.9,8.205917369404297e-20
15.0,1.2588568868453305e-19
15.1,1.6860293310831632e-19
15.2,2.1023429510223665e-19
15.3,2.5080316280314014e-19
15.4,2.90332924347872e-19
15.5,3.2884696787327766e-19
15.6,3.663686815162031e-19
15.7,4.029214534134923e-19
15.8,4.385286717019914e-19
15.9,4.732137245185455e-19
16.0,5.070000000000001e-19
16.1,5.39910886283201e-19
16.2,5.719697715049931e-19
16.3,6.032000438022204e-19
16.4,6.336250913117296e-19
16.5,6.63268302170367e-19
16.6,6.921530645149767e-19
16.7,7.203027664824043e-19
16.8,7.477407962094939e-19
16.9,7.744905418330921e-19
17.0,8.005753914900449e-19
17.1,8.260187333171967e-19
17.2,8.508439554513924e-19
17.3,8.750744460294783e-19
17.4,8.987335931882995e-19
17.5,9.218447850647003e-19
17.6,9.444314097955277e-19
17.7,9.665168555176255e-19
17.8,9.881245103678403e-19
17.9,1.0092777624830172e-18
18.0,1.0300000000000001e-18
18.1,1.0503121173787038e-18
18.2,1.0702250343713087e-18
18.3,1.0897471770530658e-18
18.4,1.1088869714992242e-18
18.5,1.1276528437850327e-18
18.6,1.1460532199857426e-18
18.7,1.1640965261766017e-18
18.8,1.1817911884328613e-18
18.9,1.1991456328297699e-18
19.0,1.2161682854425768e-18
19.1,1.2328675723465329e-18
